Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price,Duration in min,No of Stops,Days,Payment for extra baggage
IndiGo,24/03/2019,Banglore,New Delhi,BLR ? DEL,22:20,3/22/2019 1:10,2h 50m,non-stop,No info,3897,170,0,Monday,Yes
Air India,1/5/2019,Kolkata,Banglore,CCU ? IXR ? BBI ? BLR,5:50,13:15,7h 25m,2 stops,No info,7662,445,2,Tuesday,Yes
Jet Airways,9/6/2019,Delhi,Cochin,DEL ? LKO ? BOM ? COK,9:25,6/10/2019 4:25,19h,2 stops,No info,13882,1140,2,Wednesday,Yes
IndiGo,12/5/2019,Kolkata,Banglore,CCU ? NAG ? BLR,18:05,23:30,5h 25m,1 stop,No info,6218,325,1,Thursday,Yes
IndiGo,1/3/2019,Banglore,New Delhi,BLR ? NAG ? DEL,16:50,21:35,4h 45m,1 stop,No info,13302,285,1,Friday,No
SpiceJet,24/06/2019,Kolkata,Banglore,CCU ? BLR,9:00,11:25,2h 25m,non-stop,No info,3873,145,0,Saturday,No
Jet Airways,12/3/2019,Banglore,New Delhi,BLR ? BOM ? DEL,18:55,3/13/2019 10:25,15h 30m,1 stop,In-flight meal included,11087,930,1,Sunday,No
Jet Airways,1/3/2019,Banglore,New Delhi,BLR ? BOM ? DEL,8:00,3/2/2019 5:05,21h 5m,1 stop,No info,22270,1265,1,Monday,No
Jet Airways,12/3/2019,Banglore,New Delhi,BLR ? BOM ? DEL,8:55,3/13/2019 10:25,25h 30m,1 stop,In-flight meal included,11087,1530,1,Tuesday,No
Multiple carriers,27/05/2019,Delhi,Cochin,DEL ? BOM ? COK,11:25,19:15,7h 50m,1 stop,No info,8625,470,1,Wednesday,No
Air India,1/6/2019,Delhi,Cochin,DEL ? BLR ? COK,9:45,23:00,13h 15m,1 stop,No info,8907,795,1,Thursday,No
IndiGo,18/04/2019,Kolkata,Banglore,CCU ? BLR,20:20,22:55,2h 35m,non-stop,No info,4174,155,0,Friday,No
Air India,24/06/2019,Chennai,Kolkata,MAA ? CCU,11:40,13:55,2h 15m,non-stop,No info,4667,135,0,Saturday,No
